Player,Team,Min,G,MPG,OPM,DPM
Dennis Schroder,atl,2574,78,33,1.2575510,-1.9318751
Taurean Prince,atl,2340,78,30,-2.4248943,1.7734165
Kent Bazemore,atl,2106,78,27,-1.3963968,0.1697685
Ersan Ilyasova,atl,2002,77,26,-0.2966288,-0.1216457
DeWayne Dedmon,atl,1872,78,24,-2.2763925,2.7909453
Marco Belinelli,atl,1800,75,24,-0.6766045,-2.1534564
John Collins,atl,1560,78,20,-2.0160334,0.2720161
Mike Muscala,atl,1404,78,18,-1.0021863,0.5594245
DeAndre Bembry,atl,1170,78,15,-1.6860162,-0.4449445
Malcolm Delaney,atl,1092,78,14,-2.6066496,-0.9810512
Miles Plumlee,atl,980,77,13,-2.9586868,0.5545395
Nicolas Brussino,atl,390,78,5,-1.5343287,-0.5590916
Tyler Dorsey,atl,390,78,5,-2.1116674,-2.2074926
Allen Crabbe,bkn,2340,78,30,0.0667194,-1.9398371
D'Angelo Russell,bkn,2310,77,30,1.5144644,-1.5774330
Rondae Hollis-Jefferson,bkn,1825,73,25,-1.1777997,1.8025876
Trevor Booker,bkn,1794,78,23,-1.5255721,1.4849453
Jeremy Lin,bkn,1752,73,24,0.1520259,-0.5155386
Caris LeVert,bkn,1728,72,24,0.0826202,-0.3860045
DeMarre Carroll,bkn,1496,68,22,-0.6296590,0.6510726
Timofey Mozgov,bkn,1404,78,18,-3.7760017,0.5649705
Jarrett Allen,bkn,936,78,12,-2.7759342,-0.1386638
Quincy Acy,bkn,936,78,12,-1.7140127,-0.3772670
Isaiah Whitehead,bkn,780,78,10,-1.5397489,-1.0484626
Sean Kilpatrick,bkn,780,78,10,-0.0381365,-2.4471369
Tyler Zeller,bkn,780,78,10,-2.3699222,0.5698502
Joe Harris,bkn,434,77,6,-1.3856417,-1.5061842
Spencer Dinwiddie,bkn,385,77,5,-0.4699093,-0.2512080
Gordon Hayward,bos,2652,78,34,2.8960819,-0.0345438
Kyrie Irving,bos,2550,75,34,4.0885553,-1.9515994
Al Horford,bos,2464,77,32,0.1125920,1.6183937
Marcus Morris,bos,2340,78,30,-0.0018750,0.0227736
Marcus Smart,bos,2280,76,30,0.5793092,0.6802775
Jaylen Brown,bos,2106,78,27,-1.6389539,-0.4778796
Jayson Tatum,bos,1388,78,18,-1.2243156,-0.5373181
Aron Baynes,bos,1326,78,17,-2.4695370,1.0740055
Terry Rozier,bos,1326,78,17,-0.5901208,-0.6848465
Daniel Theis,bos,624,78,8,-1.0000000,-1.0000000
Guerschon Yabusele,bos,390,78,5,0.4945299,-0.0490054
Semi Ojeleye,bos,234,78,3,-1.9447588,-1.7636365
Kemba Walker,cha,2618,77,34,3.7035575,-1.3620036
Marvin Williams,cha,2340,78,30,-0.2034160,0.4262735
Dwight Howard,cha,2044,73,28,-1.1973711,2.4816148
Frank Kaminsky,cha,1872,78,24,-0.0196462,0.1212812
Cody Zeller,cha,1850,74,25,-0.2350740,2.8068638
Nicolas Batum,cha,1836,54,34,0.8994080,0.0154341
Michael Kidd-Gilchrist,cha,1769,61,29,-0.9305257,1.7178411
Jeremy Lamb,cha,1569,76,21,0.0956181,-0.4939566
Malik Monk,cha,1326,78,17,-1.9290483,-2.2810743
Michael Carter-Williams,cha,980,70,14,-1.5131822,0.8938066
Dwayne Bacon,cha,624,78,8,-2.2637415,-1.8302822
