Date,Start,Game,Visitor,Visitor Rest,Home,Home Rest
10/17/2017,8:00 PM,1,Boston Celtics,Neutral,Cleveland Cavaliers,Neutral
10/17/2017,10:30 PM,2,Houston Rockets,Neutral,Golden State Warriors,Neutral
10/18/2017,7:00 PM,1,Miami Heat,Neutral,Orlando Magic,Neutral
10/18/2017,7:00 PM,2,Charlotte Hornets,Neutral,Detroit Pistons,Neutral
10/18/2017,7:00 PM,3,Brooklyn Nets,Neutral,Indiana Pacers,Neutral
10/18/2017,7:00 PM,4,Philadelphia 76ers,Neutral,Washington Wizards,Neutral
10/18/2017,7:30 PM,5,Milwaukee Bucks,Neutral,Boston Celtics,Back to Back
10/18/2017,8:00 PM,6,New Orleans Pelicans,Neutral,Memphis Grizzlies,Neutral
10/18/2017,8:30 PM,7,Atlanta Hawks,Neutral,Dallas Mavericks,Neutral
10/18/2017,9:00 PM,8,Denver Nuggets,Neutral,Utah Jazz,Neutral
10/18/2017,9:30 PM,9,Minnesota Timberwolves,Neutral,San Antonio Spurs,Neutral
10/18/2017,10:00 PM,10,Portland Trail Blazers,Neutral,Phoenix Suns,Neutral
10/18/2017,10:00 PM,11,Houston Rockets,Back to Back,Sacramento Kings,Neutral
10/19/2017,7:30 PM,12,Chicago Bulls,Neutral,Toronto Raptors,Neutral
10/19/2017,8:00 PM,13,New York Knicks,Neutral,Oklahoma City Thunder,Neutral
10/19/2017,10:30 PM,14,Los Angeles Clippers,Neutral,Los Angeles Lakers,Neutral
10/20/2017,7:00 PM,1,Boston Celtics,"3 in 4 Days, no B2B",Philadelphia 76ers,1 Day
10/20/2017,7:00 PM,2,Cleveland Cavaliers,2 Days,Milwaukee Bucks,1 Day
10/20/2017,7:00 PM,3,Atlanta Hawks,1 Day,Charlotte Hornets,1 Day
10/20/2017,7:00 PM,4,Portland Trail Blazers,1 Day,Indiana Pacers,1 Day
10/20/2017,7:00 PM,5,Detroit Pistons,1 Day,Washington Wizards,1 Day
10/20/2017,7:30 PM,6,Orlando Magic,1 Day,Brooklyn Nets,1 Day
