Team,Ortg,Drtg,Pace,HCA Off,HCA Deff
Atlanta Hawks,100.41,106.91,97.4,1.007,1.005
Boston Celtics,109.32,107.27,96.8,0.99,0.999
Brooklyn Nets,103.02,108.13,101.3,1,1.001
Charlotte Hornets,106.79,104.92,96.7,0.999,0.997
Chicago Bulls,102.19,107.96,95.3,0.991,0.993
Cleveland Cavaliers,114.02,108.52,96.2,1.001,0.992
Dallas Mavericks,104.01,107.85,92.2,1.006,1.005
Denver Nuggets,110.16,107.36,98.3,1.001,0.997
Detroit Pistons,105,108.33,95,0.994,1.001
Golden State Warriors,114.25,102.58,99.8,1.014,1.006
Houston Rockets,112.51,105.14,100,0.988,0.992
Indiana Pacers,103.18,107.75,95.9,1.003,0.994
Los Angeles Clippers,110.17,107.11,96.1,0.991,0.995
Los Angeles Lakers,104.03,108.4,98.5,1.006,0.998
Memphis Grizzlies,105.39,106.83,92.3,1.003,1.003
Miami Heat,105.24,105.77,95.2,0.998,0.999
Milwaukee Bucks,107.64,106.59,94.5,1.005,1.004
Minnesota Timberwolves,112.39,107.62,94.6,0.994,1.004
New Orleans Pelicans,105.96,103.69,98,0.993,1.001
New York Knicks,103.5,108.92,96,0.996,1.008
Oklahoma City Thunder,111.69,105.04,97.8,0.997,1.002
Orlando Magic,105.44,107.6,96.8,1,0.998
Philadelphia 76ers,105.13,105.7,98.5,0.988,1
Phoenix Suns,104.24,108.5,100.3,1.005,1.004
Portland Trail Blazers,107.26,106.12,96.7,1.008,1.004
Sacramento Kings,102.67,108.99,94.9,1.011,1.002
San Antonio Spurs,108.04,103.72,94.2,1.002,0.998
Toronto Raptors,108.04,106.67,94.7,0.999,1.003
Utah Jazz,104.79,102.61,91.6,1.005,0.987
Washington Wizards,107.68,105.32,97.4,1.004,1.002
League Average,106.8,106.8,96.4,1.0167,0.9835
