Team,Ortg,Drtg,Pace,HCA Off,HCA Deff
Atlanta Hawks,102.60083333333334,109.92583333333334,100.05833333333334,1.007,1.005
Boston Celtics,107.74333333333333,98.95583333333333,96.25,0.99,0.999
Brooklyn Nets,105.82,109.64818181818183,105.75454545454545,1,1.001
Charlotte Hornets,104.16272727272727,104.90181818181819,99.88181818181819,0.999,0.997
Chicago Bulls,95.7988888888889,102.30666666666667,95.47777777777777,0.991,0.993
Cleveland Cavaliers,109.91090909090909,113.95636363636363,98.83636363636364,1.001,0.992
Dallas Mavericks,101.6175,111.37916666666666,96.14166666666667,1.006,1.005
Denver Nuggets,108.19636363636364,108.21454545454544,98.2090909090909,1.001,0.997
Detroit Pistons,108.45454545454545,105.30272727272727,96.18181818181819,0.994,1.001
Golden State Warriors,116.77083333333333,106.63166666666666,101.175,1.014,1.006
Houston Rockets,110.9425,104.18666666666667,99.26666666666667,0.988,0.992
Indiana Pacers,109.28909090909092,108.61363636363636,99.9909090909091,1.003,0.994
Los Angeles Clippers,110.827,105.391,96.91,0.991,0.995
Los Angeles Lakers,102.18454545454546,103.30909090909091,102.86363636363636,1.006,0.998
Memphis Grizzlies,106.30818181818182,102.89363636363636,95.39090909090909,1.003,1.003
Miami Heat,102.47636363636364,105.07,97.74545454545455,0.998,0.999
Milwaukee Bucks,107.33399999999999,110.109,96.57,1.005,1.004
Minnesota Timberwolves,110.49000000000001,110.41999999999999,97.87272727272726,0.994,1.004
New Orleans Pelicans,103.54181818181819,103.69909090909091,100.54545454545455,0.993,1.001
New York Knicks,107.00999999999999,107.732,97.26,0.996,1.008
Oklahoma City Thunder,108.00899999999999,100.594,97.08,0.997,1.002
Orlando Magic,106.58545454545455,104.32727272727271,101.7090909090909,1,0.998
Philadelphia 76ers,105.19300000000001,106.05999999999999,101.91999999999999,0.988,1
Phoenix Suns,101.63666666666667,110.79166666666667,103.14166666666667,1.005,1.004
Portland Trail Blazers,108.47818181818182,102.55636363636363,97.60909090909091,1.008,1.004
Sacramento Kings,99.18699999999998,111.15899999999999,94.99,1.011,1.002
San Antonio Spurs,103.7309090909091,103.42909090909092,96.47272727272728,1.002,0.998
Toronto Raptors,109.08400000000002,104.357,98.30000000000001,0.999,1.003
Utah Jazz,102.9809090909091,103.60090909090908,95.23636363636363,1.005,0.987
Washington Wizards,110.93799999999999,107.55199999999999,99.92,1.004,1.002
League Average,106.34545454545454,106.34545454545454,98.67272727272729,1.0167,0.9835
