Player,Team,Min,G,MPG,OPM,DPM,Playing
DeAndre' Bembry,atl,1170,78,15.956403269754768,-3.2844797002724797,-0.04805483651226155,1
Dennis Schroder,atl,2574,78,32.33602465331279,1.8984402927580895,-2.7115081278890605,1
Dewayne Dedmon,atl,1872,78,24.172695035460993,-1.1038462512664642,1.7099013677811552,1
Ersan Ilyasova,atl,2002,77,24.48747086247086,0.1609389277389277,-0.02916416083916084,1
Jeremy Evans,,0,0,0,-1.8379551,0.000484073,1
John Collins,atl,1560,78,21.499032133178474,-0.7292852642276423,0.08903257113821138,1
Kent Bazemore,atl,2106,78,28.012558869701728,-1.2163252747252746,0.8564240580847723,1
Luke Babbitt,atl,0,0,9.153675703858186,-0.09164868091762256,-1.3162654171011468,1
Malcolm Delaney,atl,1092,78,15.793352601156068,-2.899219421965318,-1.07344,1
Marco Belinelli,atl,1800,75,24.81406533008557,0.3510099072512649,-2.2960608768971333,1
Mike Muscala,atl,1404,78,19.27888572333017,-1.3180814102564105,0.48477528490028493,0
Miles Plumlee,atl,980,77,13.207381729200653,-3.3718489396411093,0.5997875203915172,1
Nicolas Brussino,atl,390,78,4.950980392156863,-1.7669889215686276,-0.6520505882352942,1
Quinn Cook,gsw,0,0,1.3195179306290419,0.1864301419753087,-1.827271957671958,1
Taurean Prince,atl,2340,78,30,-2.4248943,1.7734165,1
Tyler Dorsey,atl,390,78,5.0851918826602365,-2.292646835443038,-2.4080403254972875,1
Allen Crabbe,bkn,2340,78,28.662133690863822,0.08533894273127753,-1.4699722907488988,1
Caris LeVert,bkn,1728,72,25.356215514443363,-0.7166159493670886,0.2995761603375528,1
D'Angelo Russell,bkn,2310,77,29.100540216086433,1.9883939975990397,-1.1067424969987996,1
DeMarre Carroll,bkn,1496,68,26.39569536423841,-0.20201117549668873,0.4453115066225165,1
Isaiah Whitehead,bkn,780,78,10.377850757161102,-2.0337839901477834,-0.8608067323481116,1
Jarrett Allen,bkn,936,78,13.725559727437075,-2.2610351689612016,0.9236146433041302,1
Jeremy Lin,bkn,1752,73,24.047619047619047,0.01621514285714284,-0.9528939047619047,0
