Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Alex Abrines,SG,24,OKC,22,348,6.5,.487,.647,.141,2.8,8.1,5.3,4.1,1.9,0.5,8.1,12.2,0.1,0.4,0.5,.069,-2.6,-0.6,-3.2,-0.1
Quincy Acy,PF,27,BRK,19,332,7.4,.527,.811,.289,3.1,19.3,11.1,5.4,1.0,0.9,17.2,15.3,-0.1,0.3,0.2,.027,-2.4,-0.8,-3.2,-0.1
Steven Adams,C,24,OKC,21,656,21.1,.653,.000,.323,16.0,14.3,15.2,4.0,2.2,3.1,15.3,16.8,1.7,1.1,2.8,.204,1.4,1.6,3.0,0.8
Bam Adebayo,C,20,MIA,15,228,17.2,.643,.000,.520,10.9,17.3,14.1,1.4,2.6,3.2,15.2,14.3,0.4,0.3,0.8,.159,-1.9,1.3,-0.7,0.1
Arron Afflalo,SG,32,ORL,21,275,3.9,.439,.434,.264,1.2,12.6,6.9,5.2,0.2,1.1,10.6,10.4,-0.2,0.1,-0.1,-0.016,-4.7,-1.1,-5.8,-0.3
Cole Aldrich,C,29,MIN,5,10,0.8,.174,.000,1.000,0.0,11.7,5.8,12.1,5.0,0.0,0.0,12.7,0.0,0.0,0.0,-0.076,-7.7,1.4,-6.3,0.0
LaMarcus Aldridge,PF,32,SAS,25,833,25.3,.578,.095,.312,11.0,16.3,13.6,12.3,0.9,2.9,7.2,28.7,2.8,1.2,4.0,.232,3.7,-0.2,3.5,1.2
Jarrett Allen,C,19,BRK,16,256,15.7,.592,.033,.350,9.2,14.8,11.9,5.1,1.8,4.5,10.4,12.5,0.5,0.3,0.8,.144,-1.2,2.6,1.5,0.2
Tony Allen,SG,36,NOP,21,271,9.1,.514,.132,.231,8.4,10.7,9.6,4.8,1.9,0.9,15.9,19.1,-0.1,0.2,0.1,.015,-3.9,-1.4,-5.3,-0.2
Al-Farouq Aminu,PF,27,POR,11,325,14.0,.616,.575,.150,5.1,21.8,13.6,6.5,1.1,2.7,14.1,13.3,0.5,0.6,1.0,.150,0.0,2.2,2.1,0.3
Justin Anderson,SF,24,PHI,10,126,9.6,.489,.542,.146,8.5,13.7,11.2,3.4,1.1,0.7,7.3,18.1,0.1,0.1,0.2,.067,-1.6,-2.9,-4.5,-0.1
Kyle Anderson,SF,24,SAS,23,631,16.7,.569,.071,.340,5.5,18.9,12.2,16.7,2.2,2.6,14.3,14.9,1.0,1.1,2.1,.162,-0.1,3.3,3.2,0.8
Ryan Anderson,PF,29,HOU,22,648,14.7,.652,.768,.133,5.3,15.8,10.6,3.7,0.5,1.2,8.1,15.6,1.5,0.7,2.2,.163,2.5,-1.0,1.5,0.6
Ike Anigbogu,C,19,IND,6,17,5.2,.340,.000,.400,13.3,12.9,13.1,0.0,2.9,4.9,25.4,20.3,-0.1,0.0,0.0,-0.110,-11.1,-1.0,-12.1,0.0
Giannis Antetokounmpo,PF,23,MIL,23,861,30.7,.610,.085,.491,6.3,26.4,16.3,22.8,2.3,4.0,10.9,33.5,3.2,1.3,4.5,.251,5.2,1.9,7.1,2.0
Carmelo Anthony,SF,33,OKC,23,749,14.8,.508,.380,.222,2.7,20.4,11.2,8.7,1.3,1.9,7.9,25.7,0.5,1.1,1.6,.105,-1.6,-0.9,-2.6,-0.1
OG Anunoby,SF,20,TOR,23,453,12.6,.635,.553,.193,3.4,7.8,5.7,6.0,2.3,0.2,8.8,13.2,0.8,0.4,1.2,.131,2.6,-0.2,2.4,0.5
Ryan Arcidiacono,PG,23,CHI,1,5,-13.3,.000,1.000,.000,0.0,0.0,0.0,26.3,0.0,0.0,0.0,17.7,0.0,0.0,0.0,-0.372,-12.7,-10.3,-23.0,0.0
Trevor Ariza,SF,32,HOU,21,715,12.6,.606,.745,.112,1.9,13.2,7.6,8.4,2.2,0.5,10.0,13.3,1.1,1.0,2.1,.139,1.6,1.5,3.0,0.9
Darrell Arthur,PF,29,DEN,3,24,-7.7,.143,.571,.000,4.5,9.4,6.9,5.3,2.0,0.0,22.2,16.1,-0.1,0.0,-0.1,-0.245,-10.5,-2.0,-12.5,-0.1
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Omer Asik,C,31,NOP,5,54,8.4,.463,.000,.182,6.3,31.9,19.5,4.9,0.0,0.0,7.8,10.4,0.0,0.0,0.1,.048,-5.9,-1.6,-7.5,-0.1
D.J. Augustin,PG,30,ORL,20,398,15.3,.644,.440,.431,1.4,8.4,4.9,24.1,1.8,0.0,20.3,17.7,0.8,0.2,1.0,.115,1.0,-2.3,-1.3,0.1
Luke Babbitt,SF,28,ATL,21,402,12.7,.650,.656,.107,1.1,13.6,7.3,7.2,0.7,0.7,9.9,15.5,0.7,0.1,0.8,.091,1.0,-2.3,-1.3,0.1
Dwayne Bacon,SG,22,CHO,23,403,5.2,.435,.287,.109,0.3,20.4,10.3,6.9,0.8,0.4,10.9,12.7,-0.4,0.4,0.0,.003,-5.6,0.6,-5.0,-0.3
Ron Baker,SG,24,NYK,7,87,12.9,.606,.500,1.167,0.0,5.1,2.6,28.2,4.0,0.0,30.6,13.1,0.1,0.1,0.2,.098,-1.1,-1.3,-2.4,0.0
Lonzo Ball,PG,20,LAL,24,795,10.5,.383,.442,.123,4.6,17.4,11.0,29.0,2.0,2.3,18.7,17.6,-0.9,1.2,0.2,.014,-2.9,2.5,-0.4,0.3
J.J. Barea,PG,33,DAL,26,585,17.6,.538,.477,.180,1.3,14.1,7.5,42.1,1.3,0.2,16.1,26.4,0.7,0.5,1.1,.092,2.7,-1.5,1.2,0.5
