Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
Houston Rockets  *,29.7,60.0,14.0,56,18,9.11,-0.12,8.99,115.7,106.4,97.7,0.301,0.501,0.593,0.5539999999999999,12.7,21.6,0.23600000000000002,0.523,13.3,80.0,0.172,Toyota Center,642447,17846
Toronto Raptors  *,25.8,54.0,20.0,55,19,8.11,-0.62,7.49,114.4,106.1,97.6,0.258,0.375,0.5770000000000001,0.54,12.0,23.3,0.20600000000000002,0.503,13.3,77.3,0.213,Air Canada Centre,733796,19832
Golden State Warriors  *,28.9,54.0,19.0,52,21,7.25,-0.05,7.2,114.3,107.1,99.8,0.244,0.344,0.607,0.573,14.1,21.3,0.19899999999999998,0.5,12.6,76.4,0.18899999999999997,Oracle Arena,725052,19596
Boston Celtics  *,24.7,51.0,23.0,47,27,4.05,-0.45,3.61,107.8,103.6,96.0,0.24100000000000002,0.364,0.5539999999999999,0.519,12.9,21.2,0.18600000000000003,0.491,12.9,78.5,0.195,TD Garden,689088,18624
Utah Jazz,26.8,42.0,32.0,45,29,3.34,0.15,3.48,107.8,104.3,95.6,0.258,0.355,0.561,0.523,13.7,21.1,0.203,0.509,14.0,79.8,0.19,Vivint Smart Home Arena,643276,17869
Philadelphia 76ers  *,25.7,43.0,30.0,44,29,3.22,0.1,3.32,108.9,105.7,99.3,0.272,0.345,0.5670000000000001,0.532,15.0,25.6,0.20600000000000002,0.493,12.5,78.1,0.223,Wells Fargo Center,729864,20308
San Antonio Spurs,29.3,43.0,31.0,45,29,3.23,-0.12,3.11,107.7,104.3,95.0,0.239,0.28300000000000003,0.544,0.508,12.4,23.8,0.18600000000000003,0.505,13.2,78.8,0.16699999999999998,AT&T Center,680698,18397
Oklahoma City Thunder,27.3,44.0,31.0,45,30,3.23,-0.16,3.06,110.4,107.1,96.5,0.27,0.34,0.546,0.515,12.5,27.7,0.192,0.524,14.7,77.2,0.192,Chesapeake Energy Arena,691713,18203
Portland Trail Blazers,25.7,45.0,28.0,43,30,2.82,-0.08,2.74,109.6,106.6,96.4,0.245,0.321,0.552,0.514,12.4,23.2,0.196,0.504,11.6,79.2,0.195,Moda Center,736006,19369
Minnesota Timberwolves,27.1,42.0,33.0,42,33,2.08,0.25,2.33,113.7,111.5,96.0,0.285,0.26,0.568,0.525,11.5,24.5,0.22899999999999998,0.541,13.8,76.2,0.188,Target Center,627528,16960
Denver Nuggets,25.0,40.0,34.0,40,34,1.28,-0.12,1.17,112.2,110.9,97.1,0.257,0.35700000000000004,0.5710000000000001,0.537,13.6,25.5,0.196,0.5429999999999999,13.0,77.8,0.174,Pepsi Center,634651,17153
Indiana Pacers  *,26.2,43.0,31.0,41,33,1.54,-0.45,1.09,109.5,108.0,96.2,0.226,0.284,0.5579999999999999,0.525,12.4,22.6,0.17600000000000002,0.527,14.2,76.4,0.17600000000000002,Bankers Life Fieldhouse,622865,15971
Los Angeles Clippers,27.1,39.0,34.0,39,34,0.9,0.09,1.0,110.7,109.8,98.9,0.297,0.325,0.5670000000000001,0.529,13.2,23.2,0.22399999999999998,0.517,12.8,76.0,0.205,STAPLES Center,594453,16984
Washington Wizards,26.9,40.0,33.0,39,34,1.05,-0.08,0.98,109.7,108.7,96.5,0.26,0.306,0.561,0.525,13.2,23.6,0.201,0.519,13.5,76.8,0.212,Capital One Arena,662199,17897
New Orleans Pelicans,27.7,43.0,31.0,38,36,0.42,0.25,0.67,109.3,108.9,100.4,0.24100000000000002,0.319,0.5720000000000001,0.539,13.3,19.9,0.18600000000000003,0.516,12.5,76.9,0.179,Smoothie King Center,604900,16349
Cleveland Cavaliers  *,30.8,44.0,29.0,38,35,0.78,-0.44,0.34,112.9,112.1,98.1,0.273,0.384,0.586,0.5489999999999999,12.8,19.9,0.214,0.539,12.2,76.9,0.16899999999999998,Quicken Loans Arena,740232,20562
Miami Heat,26.4,39.0,35.0,38,36,0.23,-0.18,0.05,107.2,107.0,95.3,0.231,0.364,0.5529999999999999,0.522,13.3,21.5,0.174,0.51,13.1,79.1,0.217,AmericanAirlines Arena,686611,19617
Charlotte Hornets,26.6,34.0,41.0,38,37,0.19,-0.15,0.04,109.0,108.8,98.4,0.312,0.31,0.545,0.504,11.2,22.3,0.231,0.532,12.7,81.0,0.17,Spectrum Center,618296,16271
Milwaukee Bucks,25.8,39.0,34.0,36,37,-0.22,-0.21,-0.43,109.9,110.1,95.9,0.28800000000000003,0.301,0.573,0.5329999999999999,13.0,20.2,0.22399999999999998,0.526,14.2,75.8,0.223,BMO Harris Bradley Center,632020,16783
Detroit Pistons,26.0,34.0,40.0,35,39,-0.68,0.01,-0.67,106.5,107.2,96.2,0.225,0.331,0.539,0.509,12.4,22.9,0.168,0.523,13.8,78.4,0.17600000000000002,Little Caesars Arena,640985,17324
Los Angeles Lakers,23.7,32.0,41.0,33,40,-1.56,0.0,-1.56,106.6,108.2,100.7,0.26,0.326,0.547,0.517,13.7,23.8,0.185,0.516,12.6,77.7,0.192,STAPLES Center,643348,18922
Dallas Mavericks,28.0,22.0,51.0,30,43,-2.58,0.57,-2.01,106.9,109.5,95.6,0.221,0.377,0.547,0.515,11.7,18.1,0.17,0.5329999999999999,13.0,78.6,0.19399999999999998,American Airlines Center,751544,19777
New York Knicks,26.5,27.0,48.0,29,46,-3.39,0.04,-3.34,107.2,110.7,96.7,0.221,0.261,0.544,0.51,13.4,24.5,0.174,0.523,12.3,76.8,0.209,Madison Square Garden (IV),694154,19282
Brooklyn Nets,25.1,23.0,51.0,27,47,-4.18,0.24,-3.94,106.9,111.1,98.7,0.264,0.40299999999999997,0.5489999999999999,0.51,13.5,21.6,0.205,0.518,11.0,76.9,0.204,Barclays Center,607726,15335
Orlando Magic,25.6,22.0,51.0,25,48,-4.77,0.07,-4.7,105.9,110.7,98.2,0.242,0.341,0.551,0.518,13.6,20.0,0.184,0.527,12.8,75.3,0.19,Amway Center,646368,17955
Atlanta Hawks,25.6,21.0,53.0,24,50,-5.45,0.05,-5.4,105.5,111.0,98.1,0.24100000000000002,0.36,0.5489999999999999,0.512,14.1,21.3,0.19,0.539,13.9,75.8,0.18600000000000003,Philips Arena,528234,14277
Memphis Grizzlies,26.2,20.0,54.0,23,51,-5.95,0.35,-5.6,104.2,110.5,94.6,0.259,0.319,0.5379999999999999,0.49700000000000005,13.9,22.3,0.204,0.525,13.8,76.8,0.261,FedEx Forum,605242,15927
Chicago Bulls,24.3,24.0,49.0,21,52,-6.73,0.2,-6.52,104.3,111.1,98.1,0.217,0.348,0.53,0.498,12.3,20.5,0.166,0.541,12.2,80.4,0.18600000000000003,United Center,768208,20762
Sacramento Kings,26.5,24.0,50.0,20,54,-7.39,0.45,-6.94,104.1,111.8,95.1,0.19399999999999998,0.27699999999999997,0.531,0.505,12.9,21.4,0.14300000000000002,0.547,13.6,77.2,0.198,Golden 1 Center,632988,17108
Phoenix Suns,23.7,19.0,56.0,16,59,-9.85,0.47,-9.38,103.3,113.1,100.4,0.278,0.318,0.531,0.49200000000000005,13.9,22.7,0.20600000000000002,0.5329999999999999,11.9,76.3,0.217,Talking Stick Resort Arena,620635,16774
League Average,26.6,,,37,37,0.0,0.0,0.0,108.7,108.7,97.3,0.254,0.336,0.557,0.522,13.0,22.4,0.195,0.522,13.0,77.6,0.195,,661171,17919
