Date,Home,Home Score,Away,Away Score,Proj. Home Spread,Proj. Away Spread,Proj. Total,Home Spread,Away Spread,Total,Home Spread Diff,Away Spread Diff,Total Diff,Spread Bet,Total Bet
12/04/2017,Philadelphia 76ers,117.0737280784927,Phoenix Suns,106.61700554895596,-10.456722529536748,10.456722529536748,223.69073362744865,-10.5,10.5,227.5,-0.04327747046325214,0.04327747046325214,-3.809266372551349,Phoenix Suns,Under
12/04/2017,Charlotte Hornets,114.62402058090406,Orlando Magic,105.65146782695203,-8.97255275395203,8.97255275395203,220.27548840785607,-7.5,7.5,218.5,1.47255275395203,-1.47255275395203,1.7754884078560735,Charlotte Hornets,Over
12/04/2017,Indiana Pacers,110.13756973189325,New York Knicks,99.99585708673436,-10.14171264515889,10.14171264515889,210.1334268186276,-10.5,10.5,210.0,-0.3582873548411101,0.3582873548411101,0.13342681862761196,New York Knicks,Over
12/04/2017,Boston Celtics,101.91778203807763,Milwaukee Bucks,96.7920866462229,-5.125695391854734,5.125695391854734,198.70986868430055,-4.5,4.5,202.5,0.6256953918547339,-0.6256953918547339,-3.7901313156994547,Boston Celtics,Under
12/04/2017,Atlanta Hawks,107.57342100518805,Brooklyn Nets,105.33532470964113,-2.2380962955469244,2.2380962955469244,212.9087457148292,0.0,-0.0,220.5,2.2380962955469244,-2.2380962955469244,-7.591254285170805,Atlanta Hawks,Under
12/04/2017,New Orleans Pelicans,108.31342803084237,Golden State Warriors,118.92699064867823,10.613562617835854,-10.613562617835854,227.2404186795206,9.5,-9.5,228.5,-1.1135626178358535,1.1135626178358535,-1.2595813204794126,Golden State Warriors,Under
12/04/2017,Chicago Bulls,98.25172268341655,Cleveland Cavaliers,110.23659266891941,11.984869985502868,-11.984869985502868,208.48831535233597,8.5,-8.5,210.5,-3.4848699855028684,3.4848699855028684,-2.011684647664026,Cleveland Cavaliers,Under
12/04/2017,Memphis Grizzlies,101.78684891805433,Minnesota Timberwolves,102.51164859702482,0.7247996789704843,-0.7247996789704843,204.29849751507913,3.5,-3.5,202.0,2.7752003210295157,-2.7752003210295157,2.2984975150791342,Memphis Grizzlies,Over
12/04/2017,Dallas Mavericks,104.23992443047806,Denver Nuggets,100.480337871372,-3.7595865591060544,3.7595865591060544,204.72026230185006,-2.5,2.5,209.0,1.2595865591060544,-1.2595865591060544,-4.279737698149944,Dallas Mavericks,Under
12/04/2017,San Antonio Spurs,101.23932964641541,Detroit Pistons,97.47863019128232,-3.760699455133093,3.760699455133093,198.71795983769772,-3.5,3.5,199.0,0.2606994551330928,-0.2606994551330928,-0.28204016230228035,San Antonio Spurs,Under
12/04/2017,Utah Jazz,102.98074545131527,Washington Wizards,94.43055541794708,-8.550190033368196,8.550190033368196,197.41130086926233,-3.5,3.5,199.0,5.050190033368196,-5.050190033368196,-1.588699130737666,Utah Jazz,Under
